address_id,customer_id,street_address,city,state,postal_code,country,is_primary
1,1,7552 Park Rd,Charlotte,NC,28201,USA,1
2,2,1255 Market St,Nashville,TN,37201,USA,1
3,3,4967 Elm St,San Diego,CA,92101,USA,1
4,4,343 Walnut St,Miami,FL,33101,USA,1
5,5,2996 Park Rd,Omaha,NE,68101,USA,1
6,6,1643 Chestnut St,Baltimore,MD,21201,USA,1
7,7,836 Washington Ave,San Jose,CA,95101,USA,1
8,8,7206 Main St,Omaha,NE,68101,USA,1
9,9,8250 Highland Ave,Nashville,TN,37201,USA,1
10,10,3972 Elm St,Memphis,TN,38101,USA,1
11,11,2086 Washington Ave,Austin,TX,78701,USA,1
12,12,1109 Oak St,Las Vegas,NV,89101,USA,1
13,13,8304 Pine St,Miami,FL,33101,USA,1
14,14,5155 Chestnut St,Mesa,AZ,85201,USA,1
15,15,7528 Oak St,Chicago,IL,60601,USA,1
16,16,2584 Washington Ave,Mesa,AZ,85201,USA,1
17,17,8270 Pine St,Philadelphia,PA,19101,USA,1
18,18,8327 Elm St,Nashville,TN,37201,USA,1
19,19,3655 Lincoln Way,Austin,TX,78701,USA,1
20,20,1686 Oak St,San Antonio,TX,78201,USA,1
21,21,1594 Washington Ave,Mesa,AZ,85201,USA,1
22,22,9617 River Rd,Boston,MA,02101,USA,1
23,23,8335 Elm St,Charlotte,NC,28201,USA,1
24,24,491 Walnut St,Colorado Springs,CO,80901,USA,1
25,25,8648 Maple St,Tucson,AZ,85701,USA,1
26,26,5430 Pine St,Washington,DC,20001,USA,1
27,27,6675 Lincoln Way,Colorado Springs,CO,80901,USA,1
28,28,6838 Center St,Phoenix,AZ,85001,USA,1
29,29,2882 Center St,Louisville,KY,40201,USA,1
30,30,3515 Sunset Blvd,Miami,FL,33101,USA,1
31,31,822 Chestnut St,Boston,MA,02101,USA,1
32,32,6465 Market St,Colorado Springs,CO,80901,USA,1
33,33,9190 Cedar St,Columbus,OH,43201,USA,1
34,34,7619 Park Rd,Portland,OR,97201,USA,1
35,35,3245 River Rd,Raleigh,NC,27601,USA,1
36,36,3793 Cedar St,Seattle,WA,98101,USA,1
37,37,8406 Cedar St,Mesa,AZ,85201,USA,1
38,38,1372 Center St,Houston,TX,77001,USA,1
39,39,8954 Walnut St,Detroit,MI,48201,USA,1
40,40,8946 Main St,Nashville,TN,37201,USA,1
41,41,9792 Park Rd,Los Angeles,CA,90001,USA,1
42,42,6773 Broadway,San Diego,CA,92101,USA,1
43,43,3884 Washington Ave,Philadelphia,PA,19101,USA,1
44,44,9300 Cedar St,Miami,FL,33101,USA,1
45,45,6656 Elm St,Indianapolis,IN,46201,USA,1
46,46,4955 Park Rd,New York,NY,10001,USA,1
47,47,6757 Maple St,Dallas,TX,75201,USA,1
48,48,3907 Maple St,Austin,TX,78701,USA,1
49,49,6974 Maple St,Atlanta,GA,30301,USA,1
50,50,3853 Washington Ave,San Diego,CA,92101,USA,1
51,51,7025 Elm St,Jacksonville,FL,32201,USA,1
52,52,2284 Lakeview Dr,Milwaukee,WI,53201,USA,1
53,53,4432 Highland Ave,Mesa,AZ,85201,USA,1
54,54,1741 Chestnut St,Jacksonville,FL,32201,USA,1
55,55,6588 Elm St,Louisville,KY,40201,USA,1
56,56,3582 Maple St,Houston,TX,77001,USA,1
57,57,7018 Chestnut St,El Paso,TX,79901,USA,1
58,58,8558 Pine St,Charlotte,NC,28201,USA,1
59,59,8452 Center St,Albuquerque,NM,87101,USA,1
60,60,6452 Highland Ave,Austin,TX,78701,USA,1
61,61,4933 Center St,Memphis,TN,38101,USA,1
62,62,424 Chestnut St,Atlanta,GA,30301,USA,1
63,63,1993 River Rd,Portland,OR,97201,USA,1
64,64,562 Pine St,Chicago,IL,60601,USA,1
65,65,7831 Highland Ave,Charlotte,NC,28201,USA,1
66,66,4611 Market St,Dallas,TX,75201,USA,1
67,67,7443 Pine St,Seattle,WA,98101,USA,1
68,68,5148 Elm St,Fort Worth,TX,76101,USA,1
69,69,9667 Main St,Kansas City,MO,64101,USA,1
70,70,6577 Highland Ave,Albuquerque,NM,87101,USA,1
71,71,9987 Cedar St,New York,NY,10001,USA,1
72,72,7980 Maple St,Baltimore,MD,21201,USA,1
73,73,9759 Broadway,Washington,DC,20001,USA,1
74,74,294 Market St,Jacksonville,FL,32201,USA,1
75,75,1912 Highland Ave,Albuquerque,NM,87101,USA,1
76,76,2930 Oak St,San Diego,CA,92101,USA,1
77,77,3617 Center St,Tucson,AZ,85701,USA,1
78,78,5835 Lakeview Dr,New York,NY,10001,USA,1
79,79,960 Oak St,Austin,TX,78701,USA,1
80,80,5218 Maple St,Colorado Springs,CO,80901,USA,1
81,81,3063 Walnut St,Charlotte,NC,28201,USA,1
82,82,4760 Chestnut St,Nashville,TN,37201,USA,1
83,83,2751 Pine St,Tucson,AZ,85701,USA,1
84,84,4074 Pine St,Columbus,OH,43201,USA,1
85,85,5894 Pine St,Omaha,NE,68101,USA,1
86,86,9695 Highland Ave,Colorado Springs,CO,80901,USA,1
87,87,6833 Broadway,Denver,CO,80201,USA,1
88,88,2402 Market St,Portland,OR,97201,USA,1
89,89,422 Pine St,Detroit,MI,48201,USA,1
90,90,503 Park Rd,New York,NY,10001,USA,1
91,91,2105 Main St,Chicago,IL,60601,USA,1
92,92,2914 Maple St,Houston,TX,77001,USA,1
93,93,4977 Pine St,Washington,DC,20001,USA,1
94,94,2413 Park Rd,Portland,OR,97201,USA,1
95,95,5650 Washington Ave,Jacksonville,FL,32201,USA,1
96,96,299 Maple St,Sacramento,CA,95801,USA,1
97,97,3808 Market St,Fort Worth,TX,76101,USA,1
98,98,6786 Sunset Blvd,Nashville,TN,37201,USA,1
99,99,7497 Maple St,Jacksonville,FL,32201,USA,1
100,100,8012 River Rd,Dallas,TX,75201,USA,1
101,101,5944 Center St,Seattle,WA,98101,USA,1
102,102,3917 Lincoln Way,Louisville,KY,40201,USA,1
103,103,1825 Chestnut St,Kansas City,MO,64101,USA,1
104,104,6675 Pine St,Los Angeles,CA,90001,USA,1
105,105,7866 Lincoln Way,Kansas City,MO,64101,USA,1
106,106,7213 Walnut St,San Jose,CA,95101,USA,1
107,107,8955 Sunset Blvd,Las Vegas,NV,89101,USA,1
108,108,8646 Pine St,Colorado Springs,CO,80901,USA,1
109,109,4399 Lincoln Way,Milwaukee,WI,53201,USA,1
110,110,1713 Highland Ave,Jacksonville,FL,32201,USA,1
111,111,5204 Park Rd,Charlotte,NC,28201,USA,1
112,112,2594 Broadway,San Jose,CA,95101,USA,1
113,113,3275 River Rd,Baltimore,MD,21201,USA,1
114,114,6575 Walnut St,Portland,OR,97201,USA,1
115,115,3879 Broadway,Milwaukee,WI,53201,USA,1
116,116,550 Lakeview Dr,Charlotte,NC,28201,USA,1
117,117,9887 Cedar St,Atlanta,GA,30301,USA,1
118,118,8622 Oak St,Raleigh,NC,27601,USA,1
119,119,2102 Market St,Raleigh,NC,27601,USA,1
120,120,9186 Maple St,Houston,TX,77001,USA,1
121,121,9921 Walnut St,Philadelphia,PA,19101,USA,1
122,122,233 Cedar St,Baltimore,MD,21201,USA,1
123,123,817 Lincoln Way,New York,NY,10001,USA,1
124,124,5045 Sunset Blvd,Colorado Springs,CO,80901,USA,1
125,125,3816 Cedar St,San Diego,CA,92101,USA,1
126,126,4455 Chestnut St,Nashville,TN,37201,USA,1
127,127,5673 Broadway,Austin,TX,78701,USA,1
128,128,9639 Walnut St,San Diego,CA,92101,USA,1
129,129,2510 Center St,Fresno,CA,93701,USA,1
130,130,5859 Washington Ave,Mesa,AZ,85201,USA,1
131,131,5243 Broadway,Indianapolis,IN,46201,USA,1
132,132,149 Walnut St,Los Angeles,CA,90001,USA,1
133,133,6439 Park Rd,Milwaukee,WI,53201,USA,1
134,134,5563 Walnut St,Washington,DC,20001,USA,1
135,135,1373 Maple St,Houston,TX,77001,USA,1
136,136,4821 Cedar St,San Francisco,CA,94101,USA,1
137,137,8825 Cedar St,Las Vegas,NV,89101,USA,1
138,138,8421 River Rd,Portland,OR,97201,USA,1
139,139,1748 Oak St,Kansas City,MO,64101,USA,1
140,140,2707 Walnut St,Fort Worth,TX,76101,USA,1
141,141,7221 Market St,Colorado Springs,CO,80901,USA,1
142,142,2876 Lincoln Way,Dallas,TX,75201,USA,1
143,143,6109 Pine St,Nashville,TN,37201,USA,1
144,144,1573 Park Rd,Boston,MA,02101,USA,1
145,145,6448 Walnut St,Phoenix,AZ,85001,USA,1
146,146,4784 Maple St,Miami,FL,33101,USA,1
147,147,785 Maple St,Mesa,AZ,85201,USA,1
148,148,8307 Oak St,Kansas City,MO,64101,USA,1
149,149,9240 Lakeview Dr,Raleigh,NC,27601,USA,1
150,150,8169 Market St,Kansas City,MO,64101,USA,1
151,151,5297 Maple St,Washington,DC,20001,USA,1
152,152,4545 Main St,San Antonio,TX,78201,USA,1
153,153,8011 Elm St,Los Angeles,CA,90001,USA,1
154,154,3525 Main St,San Diego,CA,92101,USA,1
155,155,5049 River Rd,Nashville,TN,37201,USA,1
156,156,9732 Maple St,Houston,TX,77001,USA,1
157,157,787 Sunset Blvd,San Jose,CA,95101,USA,1
158,158,5154 Maple St,San Francisco,CA,94101,USA,1
159,159,9618 Broadway,Albuquerque,NM,87101,USA,1
160,160,9824 Pine St,Houston,TX,77001,USA,1
161,161,6119 Main St,Austin,TX,78701,USA,1
162,162,4309 Cedar St,Nashville,TN,37201,USA,1
163,163,4142 Center St,Austin,TX,78701,USA,1
164,164,4238 Lincoln Way,Milwaukee,WI,53201,USA,1
165,165,1600 Main St,New York,NY,10001,USA,1
166,166,4893 Broadway,Charlotte,NC,28201,USA,1
167,167,4967 River Rd,Memphis,TN,38101,USA,1
168,168,1090 Walnut St,Miami,FL,33101,USA,1
169,169,9511 Elm St,Colorado Springs,CO,80901,USA,1
170,170,8134 Main St,Mesa,AZ,85201,USA,1
171,171,2838 Oak St,Detroit,MI,48201,USA,1
172,172,4415 Park Rd,Mesa,AZ,85201,USA,1
173,173,9259 Center St,Nashville,TN,37201,USA,1
174,174,3384 Lincoln Way,Indianapolis,IN,46201,USA,1
175,175,5241 Lakeview Dr,Columbus,OH,43201,USA,1
176,176,5415 Washington Ave,Las Vegas,NV,89101,USA,1
177,177,9419 Highland Ave,San Francisco,CA,94101,USA,1
178,178,932 Lakeview Dr,Milwaukee,WI,53201,USA,1
179,179,4356 River Rd,Denver,CO,80201,USA,1
180,180,7277 Park Rd,Dallas,TX,75201,USA,1
181,181,7221 Chestnut St,Raleigh,NC,27601,USA,1
182,182,9599 Walnut St,Omaha,NE,68101,USA,1
183,183,480 Maple St,Milwaukee,WI,53201,USA,1
184,184,7491 Lakeview Dr,Houston,TX,77001,USA,1
185,185,6760 Main St,Fresno,CA,93701,USA,1
186,186,477 Highland Ave,Tucson,AZ,85701,USA,1
187,187,4541 Elm St,Phoenix,AZ,85001,USA,1
188,188,6127 Highland Ave,Colorado Springs,CO,80901,USA,1
189,189,7657 Sunset Blvd,Albuquerque,NM,87101,USA,1
190,190,3274 Chestnut St,Austin,TX,78701,USA,1
191,191,2506 Lincoln Way,New York,NY,10001,USA,1
192,192,3559 Cedar St,San Jose,CA,95101,USA,1
193,193,3132 Market St,Omaha,NE,68101,USA,1
194,194,463 Sunset Blvd,San Francisco,CA,94101,USA,1
195,195,4943 Park Rd,El Paso,TX,79901,USA,1
196,196,9424 Park Rd,San Jose,CA,95101,USA,1
197,197,5584 Market St,Miami,FL,33101,USA,1
198,198,1436 Highland Ave,Boston,MA,02101,USA,1
199,199,2440 Main St,Philadelphia,PA,19101,USA,1
200,200,9652 Broadway,Charlotte,NC,28201,USA,1
201,201,2440 Maple St,Mesa,AZ,85201,USA,1
202,202,4773 Center St,Columbus,OH,43201,USA,1
203,203,9780 Maple St,Miami,FL,33101,USA,1
